iter	Accuracy	Logloss
0	0.9852469532	0.4833102102
1	0.9916613214	0.3946841271
2	0.9935856318	0.2893194924
3	0.9916613214	0.2227172467
4	0.9897370109	0.1744013452
5	0.9955099423	0.1309465912
6	0.9967928159	0.103004272
7	0.9993585632	0.08088756578
8	0.9993585632	0.06425203383
9	0.9993585632	0.04855568847
10	1	0.04038070929
11	1	0.03325667939
12	1	0.02811028926
13	1	0.02308663509
14	1	0.02019590255
15	1	0.01750078905
16	1	0.01560417008
17	1	0.01282122423
18	1	0.01186624397
19	1	0.0104449876
20	1	0.009768767698
21	1	0.009046291598
22	1	0.008260126734
23	1	0.007383053452
24	1	0.007034236461
25	1	0.006629590562
26	1	0.006271125853
27	1	0.005963082798
28	1	0.005463228585
29	1	0.005236246171
30	1	0.004947076239
31	1	0.004724158543
32	1	0.00451022764
33	1	0.004315463567
34	1	0.004083571733
35	1	0.003856261128
36	1	0.003542767602
37	1	0.003423250683
38	1	0.003352985757
39	1	0.003220291495
40	1	0.003174649872
41	1	0.003092767121
42	1	0.002941839978
43	1	0.002811029258
44	1	0.002733948729
45	1	0.002631811062
46	1	0.00256227468
47	1	0.002467747549
48	1	0.002438562297
49	1	0.002376630119
50	1	0.002305785242
51	1	0.002186636863
52	1	0.002111128795
53	1	0.002047320442
54	1	0.002006075623
55	1	0.001904870827
56	1	0.001869857931
57	1	0.001826446964
58	1	0.001749562999
59	1	0.001721697998
60	1	0.001683533119
61	1	0.001635765849
62	1	0.001594130445
63	1	0.001534293894
64	1	0.001469325241
65	1	0.001441970575
66	1	0.001441962601
67	1	0.001411749636
68	1	0.001357422543
69	1	0.001339344396
70	1	0.001306641822
71	1	0.001306638355
72	1	0.001239707675
73	1	0.00121778206
74	1	0.001189620006
75	1	0.001149018304
76	1	0.001111388249
77	1	0.001095560152
78	1	0.001074803647
79	1	0.00105411272
80	1	0.001028765378
81	1	0.001028710067
82	1	0.001028710067
83	1	0.001028695088
84	1	0.001028686842
85	1	0.001013429393
86	1	0.001013402882
87	1	0.0009969349318
88	1	0.0009968949871
89	1	0.0009968799224
90	1	0.0009781179932
91	1	0.0009360565202
92	1	0.0009360463565
93	1	0.0009360118322
94	1	0.0009360046857
95	1	0.0009359331613
96	1	0.0009184593021
97	1	0.0009184402915
98	1	0.0009184323074
99	1	0.0009184253018
100	1	0.000918417216
101	1	0.000918417216
102	1	0.0009184058111
103	1	0.0009183986213
104	1	0.0009183658433
105	1	0.0009183319789
106	1	0.0009183156451
107	1	0.0009183003137
108	1	0.0009182927071
109	1	0.0009182815086
110	1	0.0009182648381
111	1	0.0009182356687
112	1	0.0009016418693
113	1	0.0009016274551
114	1	0.0009016115831
115	1	0.0009015957261
116	1	0.0009015798714
117	1	0.0009015641621
118	1	0.0009015327492
119	1	0.0009015327492
120	1	0.0009015010344
121	1	0.0009014696401
122	1	0.000901438255
123	1	0.0009014304033
124	1	0.0009014264814
125	1	0.0009014191756
126	1	0.0009014034899
127	1	0.0009013890148
128	1	0.0009013850555
129	1	0.0009013811352
